autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
1.0;0.0;0.0;0.05382625868886211;0.005791034854537311;0.07609884923267442
0.0;0.0;1.0;0.21023051456652397;0.06440344636929533;0.25377834101691055
0.0;0.0;2.0;0.141265998106915;0.031134605178709703;0.1764500075905629
0.0;1.0;0.0;0.05434210526315786;0.00579342105263157;0.07611452589769951
0.0;1.0;1.0;0.05433131880092809;0.005799157861445019;0.07615220194744876
0.0;1.0;2.0;0.05517848215798863;0.005828607232848293;0.07634531572302451
1.0;0.0;0.0;0.05382625868886211;0.005791034854537311;0.07609884923267442
1.0;0.0;1.0;0.053847408065165914;0.005800896751068041;0.07616361829028372
1.0;0.0;2.0;0.05449579372587896;0.005803833596290436;0.07618289569378704
1.0;1.0;0.0;0.054333242094121124;0.005797928720284747;0.076144131226804
1.0;1.0;1.0;0.05674881909209366;0.005979188309148145;0.07732521134240854
1.0;1.0;2.0;0.057517358393968814;0.00606569572101065;0.07788257649186145
2.0;0.0;0.0;0.05384472346002121;0.005799257811828863;0.07615285819868393
2.0;0.0;1.0;0.05390208402825616;0.005800732431150434;0.07616253955292217
2.0;0.0;2.0;0.05544294951797357;0.005914689315139752;0.07690701733352914
2.0;1.0;0.0;0.055131435683428945;0.005815596483505323;0.076260058244833
2.0;1.0;1.0;0.055867353035300604;0.005890757011545361;0.07675126716573064
2.0;1.0;2.0;0.05507158072878778;0.0058200346040361344;0.07628915128664189
