dist;p;q;MAE;MSE;RMSE
t;2;1;0.24494569424379634;0.08799807086723445;0.2966446879133932
normal;1;2;0.24973657534350083;0.09040200445287677;0.3006692609045307
normal;1;3;0.25628731037260133;0.09236944888213537;0.3039234260173693
normal;1;4;0.254299349056632;0.091471712629279;0.3024429080492366
normal;2;1;0.25110014615593423;0.09157798987403153;0.302618555072275
normal;2;2;0.2524130880674897;0.09234203973299672;0.3038783304761903
normal;2;3;0.25970668209429854;0.09424788909562609;0.30699819070415724
normal;2;4;0.25525921907330296;0.09222888551215011;0.30369208997296937
normal;3;1;0.24890846242494213;0.09086285101822315;0.3014346546404762
normal;3;2;0.2569109664969602;0.09355125492907167;0.3058614963166689
normal;3;3;0.2556549679049235;0.09252840777421334;0.30418482502290173
normal;3;4;0.2590769009937798;0.09380299020069442;0.30627273825904655
normal;4;1;0.25366047326892904;0.09217453107565893;0.30360258739948004
normal;4;2;0.25405065475016736;0.09226308939243925;0.3037483981726311
normal;4;3;0.25787084295211393;0.09303243148639907;0.3050121825212873
normal;4;4;0.25598707970829176;0.09234889958401894;0.3038896174337303
t;1;1;304.8275519707254;27273558.98047689;5222.409308018368
t;1;2;0.2540160896441365;0.09119663624309336;0.3019878081033957
t;1;3;0.2548950900890462;0.09230609296579005;0.3038191780743771
t;1;4;0.2551209263784755;0.09161760047857241;0.3026839944208686
t;2;1;0.24494569424379634;0.08799807086723445;0.2966446879133932
t;2;2;0.25224204938163436;0.09178143212863064;0.3029545050475907
t;2;3;0.2571174777593783;0.09362228830599705;0.30597759445096145
t;2;4;0.258063552129966;0.09384655660546097;0.3063438535460781
t;3;1;0.2512473403092184;0.09068922986979218;0.30114652558147204
t;3;2;0.24950310075820387;0.09027603964254488;0.30045971384287923
t;3;3;0.2555268460795983;0.0924817415285986;0.30410810829144064
t;3;4;0.2551395986120471;0.09305548847660308;0.30504997701459197
t;4;1;0.2505796077635498;0.09167650139939594;0.3027812765007043
t;4;2;0.25427257879786586;0.09248097489551882;0.3041068478274023
t;4;3;0.24632125006680314;0.08924077170274285;0.2987319395423644
t;4;4;0.2512437536759181;0.09194254134727065;0.30322028518433697
studentst;1;1;304.8275519707254;27273558.98047689;5222.409308018368
studentst;1;2;0.2540160896441365;0.09119663624309336;0.3019878081033957
studentst;1;3;0.2548950900890462;0.09230609296579005;0.3038191780743771
studentst;1;4;0.2551209263784755;0.09161760047857241;0.3026839944208686
studentst;2;1;0.24494569424379634;0.08799807086723445;0.2966446879133932
studentst;2;2;0.25224204938163436;0.09178143212863064;0.3029545050475907
studentst;2;3;0.2571174777593783;0.09362228830599705;0.30597759445096145
studentst;2;4;0.258063552129966;0.09384655660546097;0.3063438535460781
studentst;3;1;0.2512473403092184;0.09068922986979218;0.30114652558147204
studentst;3;2;0.24950310075820387;0.09027603964254488;0.30045971384287923
studentst;3;3;0.2555268460795983;0.0924817415285986;0.30410810829144064
studentst;3;4;0.2551395986120471;0.09305548847660308;0.30504997701459197
studentst;4;1;0.2505796077635498;0.09167650139939594;0.3027812765007043
studentst;4;2;0.25427257879786586;0.09248097489551882;0.3041068478274023
studentst;4;3;0.24632125006680314;0.08924077170274285;0.2987319395423644
studentst;4;4;0.2512437536759181;0.09194254134727065;0.30322028518433697
ged;1;1;0.28231856051749016;0.12116886135796935;0.3480931791316362
ged;1;2;0.30990152333378373;0.138657115143119;0.3723669093019934
ged;1;3;0.3211289803217358;0.14539508979118523;0.3813070806989889
ged;1;4;0.3278129953964437;0.14872148660393023;0.38564424876293724
ged;2;1;0.29675768321442986;0.12953859235598453;0.359914701500209
ged;2;2;0.3172592590595146;0.14329300873204648;0.3785406302261971
ged;2;3;0.32028578530402496;0.14547718400841933;0.381414713938017
ged;2;4;0.31896335158996547;0.1462323853061087;0.3824034326547144
ged;3;1;0.3084109539471778;0.13859206563070164;0.3722795530655715
ged;3;2;0.321693218953639;0.14638685353086095;0.3826053495847398
ged;3;3;0.3239601397204366;0.1476491291904818;0.3842513880137348
ged;3;4;0.3256941424179753;0.14828920483408292;0.3850833738738702
ged;4;1;0.308584377879132;0.13848325491779556;0.37213338323482287
ged;4;2;0.3198797755852663;0.1432855425492058;0.3785307682992306
ged;4;3;0.3248247752624792;0.14779165965395305;0.3844368084015279
ged;4;4;0.3277788917370858;0.14842843817928958;0.3852641148346022
gaussian;1;1;0.2542135914887425;0.09182602250590156;0.3030280886417983
gaussian;1;2;0.24973657534350083;0.09040200445287677;0.3006692609045307
gaussian;1;3;0.25628731037260133;0.09236944888213537;0.3039234260173693
gaussian;1;4;0.254299349056632;0.091471712629279;0.3024429080492366
gaussian;2;1;0.25110014615593423;0.09157798987403153;0.302618555072275
gaussian;2;2;0.2524130880674897;0.09234203973299672;0.3038783304761903
gaussian;2;3;0.25970668209429854;0.09424788909562609;0.30699819070415724
gaussian;2;4;0.25525921907330296;0.09222888551215011;0.30369208997296937
gaussian;3;1;0.24890846242494213;0.09086285101822315;0.3014346546404762
gaussian;3;2;0.2569109664969602;0.09355125492907167;0.3058614963166689
gaussian;3;3;0.2556549679049235;0.09252840777421334;0.30418482502290173
gaussian;3;4;0.2590769009937798;0.09380299020069442;0.30627273825904655
gaussian;4;1;0.25366047326892904;0.09217453107565893;0.30360258739948004
gaussian;4;2;0.25405065475016736;0.09226308939243925;0.3037483981726311
gaussian;4;3;0.25787084295211393;0.09303243148639907;0.3050121825212873
gaussian;4;4;0.25598707970829176;0.09234889958401894;0.3038896174337303
